fuels,phi,dilution,Temperature,Pressure/bar,IDT_total/ms,IDT_1st/ms,WeakIDT/ms,fuel_molarfraction,oxidant_molarfraction,diluent_molarfraction
CH3NO2,1.0211859530953051,3.76,914.3556175182244,10.0,0.35406773830511856,0.0,0.35406773830511856,0.2224231306525142,0.16335648515703483,0.614220384190451
CH3NO2,1.2829433136551587,3.76,998.4740286842829,10.0,0.15057306205747648,0.0,0.1005474457132487,0.2643639603300592,0.15454538648528166,0.5810906531846591
CH3NO2,1.7618376729297296,3.76,917.756564675507,10.0,0.35316886118348156,0.0,0.303051494026203,0.33043723027704963,0.1406644474207879,0.5288983223021625
CH3NO2,1.5403412695902616,3.76,901.55541293544,10.0,0.4575245860055448,0.0,0.4075090439753545,0.30141651767099376,0.1467612357834047,0.5518222465456016
CH3NO2,1.5892155052540538,3.76,932.4458077907773,10.0,0.25181591465348635,0.0,0.25181591465348635,0.30803433266852775,0.14537093851501517,0.5465947288164571
CH3NO2,0.9672245014841099,3.76,773.9597017217394,10.0,32.59772531907837,0.1524110227903396,32.49763679648291,0.21317536770942985,0.16529929249801892,0.6215253397925511
CH3NO2,1.9744586097247199,3.76,921.3362665169677,10.0,0.3529573355517447,0.0,0.25233225483396426,0.3561138694879266,0.13527019548572972,0.5086159350263437
CH3NO2,1.4295861415659883,3.76,867.0860781302379,10.0,0.9933859833635669,0.0,0.9433229827234724,0.28594089612349555,0.15001241678077826,0.5640466870957263
CH3NO2,1.844108145364018,3.76,808.467405622364,10.0,6.563855473916204,0.10151597217955713,6.413446702906613,0.3406116198367939,0.1385269706225223,0.5208614095406839
CH3NO2,1.5491042845646195,3.76,775.20402990837,10.0,26.593847400764982,0.15335393575613537,26.44319345781699,0.3026123709250379,0.14651000610818532,0.5508776229667768
CH3NO2,1.2580066369470002,3.76,754.7587852863018,10.0,71.22531708938978,0.15326400806693202,71.07498982200131,0.26056439676779386,0.1553436141244131,0.5840919891077931
CH3NO2,1.9156414747397064,3.76,778.2826366912516,10.0,22.11359243158158,0.15186544975609914,21.963173397851165,0.34921011217391,0.13672056466934665,0.5140693231567434
CH3NO2,1.929136744288287,3.76,738.3111595279426,10.0,137.4154326480387,0.20263866228367594,137.16429277968737,0.35080719647351866,0.13638504275766417,0.5128077607688171
CH3NO2,0.607783012069635,3.76,740.8927477721799,10.0,181.67751942381219,0.259261003692579,181.4750833702641,0.1454797940232288,0.17952105167579227,0.6749991543009788
CH3NO2,0.9265128937858463,3.76,993.1065697793124,10.0,0.15115475217867877,0.0,0.10083449337514866,0.20605142599864032,0.16679591890784867,0.627152655093511
CH3NO2,1.3756210713025911,3.76,906.5345151979834,10.0,0.40451038293505454,0.0,0.35444427955260743,0.2781493065218351,0.15164930535255566,0.5702013881256093
CH3NO2,0.7115052775075827,3.76,758.3042355925267,10.0,75.23328241923775,0.20301682395443926,75.08304342053438,0.1661811048664117,0.17517203679277066,0.6586468583408177
CH3NO2,1.2654160747527052,3.76,784.5331169373592,10.0,18.702968705695987,0.10300983065691909,18.602730701629852,0.26169745378476483,0.1551055769359738,0.5831969692792615
CH3NO2,1.8532116440813562,3.76,807.5230537453103,10.0,6.776415338773151,0.1001004031174636,6.676284261450339,0.34171848080166034,0.13829443680637385,0.5199870823919657
CH3NO2,1.9899627744261656,3.76,748.3654084537503,10.0,84.7957074877809,0.20497485604531077,84.59564245410046,0.3579093701093252,0.13489298947283082,0.5071976404178438
